iter	RMSE
0	3.90089218
1	3.741656899
2	3.591701553
3	3.450396549
4	3.309954845
5	3.181914396
6	3.062137917
7	2.947111843
8	2.835724784
9	2.726980817
10	2.624864813
11	2.527825543
12	2.434937697
13	2.349025846
14	2.272839357
15	2.195824886
16	2.122671274
17	2.057250154
18	1.991750391
19	1.929133715
20	1.872258822
21	1.816276837
22	1.766155798
23	1.717371235
24	1.670889993
25	1.629077305
26	1.589617339
27	1.549277397
28	1.512481899
29	1.477494052
30	1.445804537
31	1.414700338
32	1.385405738
33	1.358086252
34	1.333486894
35	1.309329492
36	1.285539825
37	1.264478444
38	1.244879419
39	1.226759383
40	1.207528907
41	1.191741368
42	1.177190711
43	1.163889213
44	1.14976386
45	1.1376297
46	1.125172472
47	1.1143066
48	1.104830742
49	1.096032514
50	1.086789647
51	1.078192588
52	1.069580713
53	1.061981684
54	1.053989526
55	1.045932522
56	1.0391035
57	1.032936278
58	1.026573781
59	1.020257873
60	1.015078275
61	1.008965817
62	1.003520746
63	0.9992471229
64	0.9959492233
65	0.9918567524
66	0.9875574897
67	0.9830076173
68	0.9788375571
69	0.974832382
70	0.9718338684
71	0.9685243918
72	0.9657511356
73	0.9626833849
74	0.9598886299
75	0.9566694204
76	0.9535378955
77	0.9496969679
78	0.94669695
79	0.9446768427
80	0.9420193587
81	0.9399881083
82	0.9375691611
83	0.9353915073
84	0.9330660113
85	0.9314340458
86	0.9292357205
87	0.9270948005
88	0.9246278111
89	0.9225998766
90	0.9208316271
91	0.9192467508
92	0.9176698513
93	0.916231604
94	0.9142273437
95	0.9125097433
96	0.9110957273
97	0.9098033488
98	0.9082926988
99	0.906355635
100	0.9044374119
101	0.9029902383
102	0.9012720825
103	0.8990658535
104	0.8975005905
105	0.8958104284
106	0.8945604046
107	0.8943507893
108	0.8927266009
109	0.8909467232
110	0.8898196179
111	0.8882826754
112	0.8867433439
113	0.8855636025
114	0.8845840533
115	0.8833269899
116	0.8824870901
117	0.8815567061
118	0.8798186599
119	0.8782116513
120	0.876868857
121	0.875713846
122	0.8743474801
123	0.8731511569
124	0.8721611504
125	0.8710082047
126	0.870413041
127	0.8694265415
128	0.8681751836
129	0.8669704117
130	0.8659224179
131	0.8653232925
132	0.8640868791
133	0.8632941891
134	0.8627387266
135	0.8613224156
136	0.8598094108
137	0.8589710556
138	0.8578847233
139	0.8567714048
140	0.8560764702
141	0.8551520493
142	0.8537587631
143	0.8527462633
144	0.851696274
145	0.8511564569
146	0.8507161306
147	0.84977304
148	0.8485112606
149	0.8474885991
150	0.8467141262
151	0.8462301243
152	0.8450802393
153	0.8439540364
154	0.8428586898
155	0.8416601862
156	0.8405513021
157	0.8395880072
158	0.8383380632
159	0.8375025153
160	0.8366505451
161	0.8361069768
162	0.8352436581
163	0.8344916678
164	0.8340742626
165	0.8337237302
166	0.8326396654
167	0.8316712623
168	0.8308520522
169	0.8300111352
170	0.8290163794
171	0.8278640509
172	0.8271119057
173	0.8263887554
174	0.8255043158
175	0.8245422372
176	0.8237171019
177	0.8223365364
178	0.8208863219
179	0.8201294038
180	0.8189470097
181	0.8182609838
182	0.8172516658
183	0.8164148246
184	0.8161526219
185	0.8151267738
186	0.8143978458
187	0.8139269545
188	0.8130317579
189	0.8120752917
190	0.8113349311
191	0.8101607598
192	0.8091470434
193	0.8080924309
194	0.8070309264
195	0.8067691415
196	0.8060189322
197	0.8050143748
198	0.8035407588
199	0.8029607452
200	0.8018961282
201	0.8012579577
202	0.8003123984
203	0.8001154556
204	0.799154393
205	0.7979033257
206	0.796940897
207	0.7961338511
208	0.7955587578
209	0.7945577208
210	0.7938892708
211	0.7929867528
212	0.7919500368
213	0.7909382645
214	0.7900187315
215	0.7890956922
216	0.788247761
217	0.7872820121
218	0.7860476027
219	0.7852364239
220	0.7848610962
221	0.7838835491
222	0.7828948824
223	0.7821159128
224	0.7812812989
225	0.7804389687
226	0.7797890915
227	0.778897892
228	0.7778934027
229	0.7774288408
230	0.7766354882
231	0.7762574769
232	0.7751268172
233	0.7746753663
234	0.7739255345
235	0.7731477016
236	0.77247642
237	0.7718755072
238	0.7711501822
239	0.770592048
240	0.7701636684
241	0.7692511111
242	0.7679142813
243	0.766954819
244	0.766284663
245	0.7653267101
246	0.7649071918
247	0.7645035735
248	0.763801864
249	0.7630778942
250	0.7626329573
251	0.7612865802
252	0.7603810761
253	0.7599788319
254	0.7593400385
255	0.7585972812
256	0.7580558039
257	0.7573214727
258	0.7569225325
259	0.7558767702
260	0.7553795682
261	0.7546500023
262	0.7538891298
263	0.7531526416
264	0.7525843723
265	0.7519917161
266	0.7516037079
267	0.7511802063
268	0.750765211
269	0.7498333276
270	0.749016514
271	0.7484733176
272	0.7474311659
273	0.7465395324
274	0.7457454129
275	0.7450546101
276	0.7444248247
277	0.743902023
278	0.7434937765
279	0.7429554752
280	0.7421689678
281	0.7416745047
282	0.7412755522
283	0.7406473839
284	0.7401485006
285	0.7391547564
286	0.7385258518
287	0.7381330208
288	0.7377907929
289	0.73723346
290	0.736583269
291	0.7360046074
292	0.7354774129
293	0.7348695428
294	0.7342790743
295	0.7338078992
296	0.7325763763
297	0.7318399726
298	0.7310120012
299	0.7305413614
300	0.7299865607
301	0.729355128
302	0.7286726295
303	0.7280975897
304	0.7275990843
305	0.7270267022
306	0.7264207062
307	0.7258875957
308	0.7253677329
309	0.72421537
310	0.723693774
311	0.7231951129
312	0.7228681367
313	0.7222930305
314	0.7219775394
315	0.7214446456
316	0.7204187458
317	0.7200016028
318	0.7188256983
319	0.7184129544
320	0.7175267277
321	0.7171484816
322	0.7167773663
323	0.7156952854
324	0.7149031892
325	0.7140499353
326	0.7136894769
327	0.7127259408
328	0.712372088
329	0.711634146
330	0.7109287465
331	0.7104890036
332	0.7099818312
333	0.708970483
334	0.7081580319
335	0.7072066448
336	0.7064447164
337	0.705785603
338	0.704992207
339	0.7046663136
340	0.7039353607
341	0.7034659978
342	0.7031455146
343	0.7021980971
344	0.7014659402
345	0.7011525134
346	0.7008445504
347	0.7004171995
348	0.6997335074
349	0.698924911
350	0.6986262426
351	0.6977446737
352	0.6971035986
353	0.6965195366
354	0.6957976811
355	0.6950646936
356	0.6947733656
357	0.694486678
358	0.6940905893
359	0.6938061427
360	0.6927748461
361	0.6920455397
362	0.6913001496
363	0.6908281049
364	0.6902104168
365	0.6894303291
366	0.6890255854
367	0.6887473236
368	0.6883906121
369	0.6879673775
370	0.6872394616
371	0.6865423327
372	0.6858916619
373	0.685619935
374	0.6852385252
375	0.6848950973
376	0.6842212244
377	0.6836393364
378	0.6829166409
379	0.6824547185
380	0.6817642014
381	0.6811755902
382	0.6807138154
383	0.6804503408
384	0.6800180873
385	0.6794645433
386	0.6788100482
387	0.6784585758
388	0.6776530379
389	0.6773940455
390	0.676954182
391	0.6763829513
392	0.6761275511
393	0.6756557123
394	0.6750438841
395	0.6743987076
396	0.673829895
397	0.6733327238
398	0.6729680588
399	0.6726460787
400	0.6721980695
401	0.6709833059
402	0.6706715909
403	0.6702225901
404	0.6698406175
405	0.6695092599
406	0.6687414873
407	0.6684409389
408	0.6678418276
409	0.6673378853
410	0.666789252
411	0.6664637569
412	0.6657790284
413	0.6654724338
414	0.6651716302
415	0.6640732499
416	0.6635339159
417	0.6632402375
418	0.6626947765
419	0.6622832182
420	0.6617512336
421	0.6611938379
422	0.6608475851
423	0.6602478551
424	0.6596561791
425	0.659067232
426	0.658467722
427	0.658170614
428	0.6576272524
429	0.6572813284
430	0.6569495004
431	0.6565723752
432	0.6561183629
433	0.6555393504
434	0.6549598781
435	0.6544111559
436	0.6538590878
437	0.6534950674
438	0.652997578
439	0.6523303323
440	0.6517923352
441	0.6514041197
442	0.6512576443
443	0.6508894642
444	0.6501927014
445	0.6498230432
446	0.6491487464
447	0.6487756068
448	0.648630784
449	0.6483674075
450	0.6480428054
451	0.6479005097
452	0.6472361539
453	0.6467079098
454	0.6462228311
455	0.6457236667
456	0.645041205
457	0.6446104105
458	0.6439789533
459	0.6433662608
460	0.6430546015
461	0.6427487682
462	0.6422523363
463	0.6416404126
464	0.6414378075
465	0.640748081
466	0.6405853323
467	0.6399910182
468	0.6395018035
469	0.6392492458
470	0.6388022313
471	0.6383342991
472	0.6376433098
473	0.637443542
474	0.6372773879
475	0.6368318885
476	0.6363144245
477	0.6358187078
478	0.6356797401
479	0.635519729
480	0.6349626384
481	0.6343357328
482	0.6336890339
483	0.6333393569
484	0.6328441424
485	0.6327187425
486	0.6325958161
487	0.6321721022
488	0.6319545371
489	0.6313856835
490	0.6311465228
491	0.6307381269
492	0.6304627048
493	0.6301979446
494	0.6299647908
495	0.6297053829
496	0.6293107186
497	0.6290563616
498	0.6288071048
499	0.6284815294
500	0.6282369599
501	0.628085137
502	0.627822241
503	0.6273979944
504	0.6268384906
505	0.6266117756
506	0.6262957155
507	0.6260554161
508	0.625819803
509	0.6255955517
510	0.6251269723
511	0.6243675703
512	0.6240123803
513	0.6238644413
514	0.6233871236
515	0.6230287079
516	0.6225268944
517	0.6222303628
518	0.621998763
519	0.6215349031
520	0.6213076596
521	0.6211086154
522	0.6205721155
523	0.6200460525
524	0.6198284697
525	0.6196146016
526	0.619397498
527	0.6190903682
528	0.6188541286
529	0.6184997863
530	0.6182923543
531	0.6178983481
532	0.6174626304
533	0.6172537085
534	0.6171218963
535	0.6167413791
536	0.6165182094
537	0.6163019486
538	0.6159173302
539	0.6156851749
540	0.6153354832
541	0.6151122281
542	0.6146489815
543	0.6141617879
544	0.6140231849
545	0.6133245685
546	0.612741426
547	0.6124456839
548	0.6123095874
549	0.6120200379
550	0.6116871437
551	0.6112281846
552	0.6107663488
553	0.6105627703
554	0.6098574806
555	0.6095748296
556	0.6089949482
557	0.6086412271
558	0.6083644043
559	0.6073991331
560	0.6069824233
561	0.6067103886
562	0.6063527669
563	0.6059528342
564	0.6050337178
565	0.604842081
566	0.6041495422
567	0.6035441916
568	0.6029108557
569	0.6024423849
570	0.6020554381
571	0.6016677273
572	0.601400691
573	0.600881367
574	0.6005679274
575	0.6001934711
576	0.5999819968
577	0.5996927197
578	0.5994263864
579	0.5992923334
580	0.5989488315
581	0.5984757543
582	0.5981418817
583	0.5980032218
584	0.5976951828
585	0.5975246679
586	0.5972350071
587	0.5967048677
588	0.5964068631
589	0.5961311594
590	0.5958666301
591	0.5955969367
592	0.5953333505
593	0.5949654669
594	0.5947704935
595	0.5945699481
596	0.594086876
597	0.5938846712
598	0.5936257339
599	0.5933258886
600	0.5929832355
601	0.592670132
602	0.5923031038
603	0.5920519568
604	0.5917017069
605	0.5910462334
606	0.5905967792
607	0.5903642796
608	0.5897859047
609	0.589558023
610	0.5892269496
611	0.5888365268
612	0.5878210088
613	0.5872902271
614	0.5870926828
615	0.5867977744
616	0.5865551179
617	0.5862398036
618	0.5857258304
619	0.5854481739
620	0.5851864963
621	0.5848075449
622	0.5846355493
623	0.5844461605
624	0.5839258397
625	0.5836196887
626	0.5833460331
627	0.5830682096
628	0.5827440932
629	0.58236722
630	0.5822362984
631	0.5821181021
632	0.5819428092
633	0.5817705203
634	0.5814434585
635	0.5812959354
636	0.5808657397
637	0.5807012657
638	0.5798375988
639	0.578953858
640	0.5787674464
641	0.5784542134
642	0.5783132324
643	0.5781749406
644	0.5780501874
645	0.5776989147
646	0.577384708
647	0.5772155721
648	0.5768128348
649	0.5764797872
650	0.5763650911
651	0.5757437089
652	0.5754998168
653	0.5751270181
654	0.5749260475
655	0.5743412932
656	0.5742100028
657	0.5738790355
658	0.5736422874
659	0.5732518637
660	0.5728067197
661	0.5725684373
662	0.5723841226
663	0.571971407
664	0.5717390959
665	0.5713336908
666	0.5710033537
667	0.5708428763
668	0.5703245692
669	0.5698720216
670	0.5697457665
671	0.5691898629
672	0.5690315106
673	0.5686559915
674	0.5684212138
675	0.5679565425
676	0.5677273622
677	0.5675079681
