iter	Passed	Remaining
0	13	16491
1	26	16163
2	36	14526
3	48	14526
4	60	14408
5	69	13852
6	81	13968
7	93	13995
8	103	13684
9	116	13819
10	133	14434
11	147	14589
12	161	14751
13	170	14472
14	182	14405
15	194	14426
16	202	14120
17	214	14103
18	224	13928
19	233	13779
20	243	13648
21	250	13426
22	259	13262
23	266	13071
24	275	12952
25	283	12821
26	293	12739
27	300	12590
28	308	12454
29	316	12357
30	324	12238
31	332	12132
32	341	12084
33	350	12036
34	360	11983
35	369	11934
36	378	11893
37	385	11803
38	393	11718
39	401	11642
40	409	11571
41	418	11542
42	426	11488
43	434	11419
44	442	11352
45	450	11298
46	458	11239
47	465	11178
48	473	11123
49	481	11069
50	489	11022
51	496	10968
52	504	10921
53	512	10886
54	521	10849
55	528	10801
56	538	10800
57	546	10759
58	557	10781
59	567	10781
60	576	10762
61	586	10764
62	598	10800
63	607	10789
64	617	10777
65	626	10757
66	635	10749
67	643	10716
68	653	10708
69	661	10679
70	671	10672
71	679	10649
72	688	10629
73	697	10619
74	706	10597
75	717	10617
76	729	10635
77	747	10757
78	764	10845
79	783	10967
80	793	10965
81	810	11050
82	824	11101
83	840	11164
84	855	11226
85	870	11274
86	882	11295
87	892	11273
88	905	11305
89	920	11356
90	935	11398
91	953	11484
92	967	11519
93	980	11535
94	992	11540
95	1005	11563
96	1021	11612
97	1035	11645
98	1049	11667
99	1062	11690
100	1072	11668
101	1085	11688
102	1096	11678
103	1109	11687
104	1121	11694
105	1136	11731
106	1151	11760
107	1161	11747
108	1172	11736
109	1187	11762
110	1198	11760
111	1209	11748
112	1219	11735
113	1228	11700
114	1238	11680
115	1248	11664
116	1257	11640
117	1267	11622
118	1276	11595
119	1288	11592
120	1299	11585
121	1309	11572
122	1319	11551
123	1329	11539
124	1338	11509
125	1350	11508
126	1361	11500
127	1372	11497
128	1383	11482
129	1392	11457
130	1400	11431
131	1408	11399
132	1419	11389
133	1429	11372
134	1437	11341
135	1447	11321
136	1454	11287
137	1464	11272
138	1472	11242
139	1482	11220
140	1494	11221
141	1503	11204
142	1515	11203
143	1530	11222
144	1542	11220
145	1552	11207
146	1561	11184
147	1570	11165
148	1581	11157
149	1593	11155
150	1603	11139
151	1614	11132
152	1624	11119
153	1634	11101
154	1644	11085
155	1653	11067
156	1663	11053
157	1673	11033
158	1681	11012
159	1691	10997
160	1701	10981
161	1710	10962
162	1720	10946
163	1729	10924
164	1738	10906
165	1747	10888
166	1758	10878
167	1767	10860
168	1777	10844
169	1787	10829
170	1797	10815
171	1806	10799
172	1816	10782
173	1825	10766
174	1835	10749
175	1845	10735
176	1854	10718
177	1862	10695
178	1870	10670
179	1879	10652
180	1887	10627
181	1895	10602
182	1903	10576
183	1910	10550
184	1918	10525
185	1926	10500
186	1933	10475
187	1941	10452
188	1950	10433
189	1959	10417
190	1967	10392
191	1974	10367
192	1982	10342
193	1990	10319
194	1998	10297
195	2007	10285
196	2016	10266
197	2025	10252
198	2035	10238
199	2042	10214
200	2050	10191
201	2057	10167
202	2065	10143
203	2072	10119
204	2080	10096
205	2087	10072
206	2095	10049
207	2102	10026
208	2109	10002
209	2116	9979
210	2124	9958
211	2132	9938
212	2140	9917
213	2150	9909
214	2159	9892
215	2166	9869
216	2175	9853
217	2182	9831
218	2189	9809
219	2197	9787
220	2204	9765
221	2211	9743
222	2219	9722
223	2226	9702
224	2234	9681
225	2241	9660
226	2249	9643
227	2257	9625
228	2265	9604
229	2274	9591
230	2281	9572
231	2290	9555
232	2299	9541
233	2308	9528
234	2316	9512
235	2325	9499
236	2334	9485
237	2343	9474
238	2352	9459
239	2363	9453
240	2372	9441
241	2381	9428
242	2390	9415
243	2399	9399
244	2410	9395
245	2418	9379
246	2428	9370
247	2438	9359
248	2446	9344
249	2456	9334
250	2464	9319
251	2474	9308
252	2482	9294
253	2493	9286
254	2508	9294
255	2520	9293
256	2539	9316
257	2559	9345
258	2585	9393
259	2596	9388
260	2611	9395
261	2624	9395
262	2637	9397
263	2647	9386
264	2659	9382
265	2670	9375
266	2677	9356
267	2688	9348
268	2695	9329
269	2706	9321
270	2713	9302
271	2723	9292
272	2734	9285
273	2742	9267
274	2753	9262
275	2761	9246
276	2774	9243
277	2786	9240
278	2796	9229
279	2809	9232
280	2822	9230
281	2833	9225
282	2843	9212
283	2855	9210
284	2867	9206
285	2875	9189
286	2887	9184
287	2894	9165
288	2905	9159
289	2916	9152
290	2923	9133
291	2934	9124
292	2942	9107
293	2953	9102
294	2961	9084
295	2970	9072
296	2981	9066
297	3000	9081
298	3016	9089
299	3025	9075
300	3036	9069
301	3048	9064
302	3056	9049
303	3068	9043
304	3080	9038
305	3088	9024
306	3102	9025
307	3115	9023
308	3125	9011
309	3139	9012
310	3152	9012
311	3166	9011
312	3174	8995
313	3185	8989
314	3197	8983
315	3205	8967
316	3217	8962
317	3229	8956
318	3239	8946
319	3254	8949
320	3267	8946
321	3279	8941
322	3287	8927
323	3301	8926
324	3314	8924
325	3324	8913
326	3333	8899
327	3343	8889
328	3352	8875
329	3361	8861
330	3369	8845
331	3377	8831
332	3385	8813
333	3393	8799
334	3401	8781
335	3408	8765
336	3416	8749
337	3424	8734
338	3432	8716
339	3440	8703
340	3447	8685
341	3455	8669
342	3462	8652
343	3470	8635
344	3478	8619
345	3487	8608
346	3496	8594
347	3504	8580
348	3511	8563
349	3520	8550
350	3528	8533
351	3536	8519
352	3543	8503
353	3551	8487
354	3559	8471
355	3566	8455
356	3573	8439
357	3581	8423
358	3589	8408
359	3597	8393
360	3606	8381
361	3613	8365
362	3621	8349
363	3628	8334
364	3636	8318
365	3643	8302
366	3652	8290
367	3660	8274
368	3668	8260
369	3675	8244
370	3682	8229
371	3690	8213
372	3697	8198
373	3705	8183
374	3712	8167
375	3719	8151
376	3727	8136
377	3734	8120
378	3743	8109
379	3751	8095
380	3759	8081
381	3767	8067
382	3775	8054
383	3784	8041
384	3794	8031
385	3808	8032
386	3820	8026
387	3829	8013
388	3840	8006
